会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
マニュライフ生命保険株式会社,お客様に寄り添い長期的な関係を構築、当社保険商品をご案内・提案する営業★最新タブレットや他支援ツールがありますので、ご安心ください！,【東海エリア】 ■静岡 静岡県静岡市駿河区南町14-1　水の森ビル8F ■三島 静岡県駿東郡清水町…,,【高卒以上】営業経験者は優遇(年数／業界不問)★未経験歓迎、サポート体制も充実★20代～50代活躍中,月給20万円〜80万円 ※入社から20ヶ月/期間中査定による変動あり ※初期給与額は、経験・スキル・知識・…,2020/10/16
株式会社ゲッコー,やることはシンプルなものばかり＊希望や適性に応じて、運搬、搬入、荷降ろし補助業務をお任せします。超簡単な業務からスタートなので安心♪,東京都・神奈川県・千葉県・埼玉県の各現場 【直行直帰となります】 本社：千葉県市川市行徳駅前2-1…,350万円～650万円,【未経験・フリーター歓迎！学歴・転職回数気にしません！】先輩たちもみんな未経験スタート、丁寧に指導しますので安心して応募ください。,月給28万〜54万円 +各種手当 ※スキルや能力、希望などを考慮して、給与額を決定します。 ※試用期間1…,2020/10/16
合同会社福太,【出張買取は基本なし！】お客様からお宝のお話をうかがい、買取査定を行います！ ☆知識は入社後でOK！鑑定団気分で成長＆取り組めます♪,【U・Iターン歓迎／原則転居を伴う転勤なし！】 ☆マイカー通勤OKです！ おたからや溝川店 和歌山…,,【学歴・男女不問／未経験でも”大”歓迎！】◆ 要普免（AT限定可）◆「収入と働きやすさ、どちらも重視したい」そんな方はぜひご応募を！,"月給240,000円〜 + 賞与年2回 ※経験や年齢などを考慮の上、決定いたします ※試用期間6ヶ月あり（期間…",2020/11/19
矢島建設興業株式会社,"【前職給与から10％UPも可！】岐阜市近郊にある""戸建て注文住宅""や""商業施設""などの建築施工管理（木造・RC・鉄骨）をお任せします。",＜転勤なし＞岐阜市木ノ本町2丁目4番地5 ※社用車貸与：通勤利用をして頂いてOKです。,450万円～600万円,【建築施工管理、現場のご経験をお持ちの方（経験年数不問）】◎年齢不問 ◎ブランクがあってもOK！,◆月給30万〜45万円＋各種手当 ◎経験・年齢を考慮し決定します！ ※固定残業代35時間分、5万1137円〜8…,2020/10/16
アップルオートネットワーク株式会社,【高収入も目指せる!!】アップルに来店されたお客様への接客、お客様の車の査定・買取などをお任せします。地域密着で顔馴染みのお客様が多いですよ！,★常磐道水戸インターチェンジ降りてすぐ★ ＜水戸インター店＞ 茨城県水戸市加倉井町415-7 ◎車…,400万円～500万円,【研修あり！未経験スタート・第二新卒大歓迎】◎高卒以上・要普通免許◎人と話すことが好きな方 ＼＼リモート面接も可能！ご相談ください／／,月給20万4220円以上 ＋諸手当 ＋決算賞与！ ※あなたの経験や能力に応じて優遇します。 ※試用期間3ヶ月…,2020/11/06
株式会社織田タクシー,【入社後に2種免許取得からスタート！同じく未経験スタートの班長が親身に育成】都内でのタクシー乗務をお任せ！◎グループの無線・アプリ予約も多数,◎竹ノ塚駅より徒歩６分 【東京営業所】 東京都足立区竹の塚6-24-18,,【未経験・第二新卒歓迎/普通免許取得から3年以上の方】◎前職不問・人物重視◎運転が好きな方◎丁寧な対応・言葉遣いが出来る方 ★20～30代活躍中,"月給176,000円以上＋歩合給 ※やる気次第では高収入が可能です。 　＊隔勤務乗務員平均年収490万円（201…",2020/10/20
株式会社フォーサイズ,【20～30代活躍中】＼担当エリアは首都圏（東京都がメイン）／退居された賃貸アパートやマンションなどの原状回復工事（修理・メンテナンスなど）,【本社は三軒茶屋からも10分圏内！】 ◎転勤なし ◎UIターン歓迎！ ◎上京したい方や遠方にお住い…,330万円～450万円,【未経験・第二新卒歓迎】＼人柄重視の採用です／★チームで仕事を進めていくので「現場に一人で放置」ということはありません！★日祝はしっかり休み,月給26万円以上（一律手当を含む）＋その他手当＋インセンティブ＋賞与年2回 ※上記月給は入社時の最低…,2020/10/13
株式会社 Branding Engineer,【2020年開設の大阪オフィス】Web系からインフラ系まで幅広い案件があります※大手案件・スタートアップ企業・体制などあなた好みから選んでください,★転勤なし ★リモートワーク相談可 ★地方からの引越に最大20万円の補助金 【大阪オフィス(梅田）…,360万円～1200万円,【成功例多数◎当社がキャリアアップを実現させます】◎エンジニアとしての経験をお持ちの方(目安:3年以上／使用言語は不問)★SEクラスの経験者は優遇,【月給30万円〜100万円】 ◆実務経験3年以上<PGクラス>月給30万円以上 ◆実務経験5年以上<SEクラス>月給4…,2020/10/23
ディパーチャーズ・ジャパン株式会社,【丁寧な研修からスタート！】自社サービスのPR＆集客UPに伴う＜販促企画or営業＞ ★あなたらしく活躍！希望・適性にあった業務をお任せします♪,【U・Iターン歓迎／直行直帰OK！】 ■本社／東京都中央区入船3丁目7-7 ウィンド入船6F ◎有…,300万円～500万円,【前職・学歴・男女不門／未経験歓迎！】◆普通自動車免許（AT限定可）★意欲や人柄を重視する採用です♪業界＆営業未経験のメンバーばかり！,月給24万6000円以上(一律住宅手当含む) ※年齢やスキル、経験をもとに給与額を決定します ※試用期間(研…,2020/11/25
株式会社ファーストライズ,"●飲食店や美容院などの店舗の""出店""と""売却""をお考えの方をマッチングさせる業務が基本です。★ニーズ拡大中の注目事業に携われます！",《転勤なし／アクセス良好》 東京都渋谷区南平台町15-11 7階,360万円～700万円,《未経験・第二新卒歓迎》◆35歳以下の方(※) ★キャリア、給与、ワークライフバランス（土日祝休）今より上を目指す方は当社で前面的に支援します。,月給：22万円〜35万円＋インセンティブ＋諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。 …,2020/11/12
株式会社BUGZY,【当たり前のことを当たり前にできればOK】不動産オーナーと買主様や販売・買取会社との間に立ち、物件情報のヒアリングや各種調整業務を担当します。,★転勤なし ★5月末に移転したばかりの新オフィス 東京都渋谷区東3丁目15-5 A.Yビル3階 →…,,【初めての転職も歓迎/先輩も未経験スタート多数】◎40歳まで(若年層の長期キャリア形成を図るため)★意欲重視の採用を実施／フレッシュな感性に期待,月給：25万円〜45万円 + インセンティブ ※あなたの経験・能力・スキル等を考慮し、決定します。 ※試用…,2020/10/29
株式会社ホンダカーズ東海,【 100%反響営業！未経験からでも成長できる理由あり！】… 来店されたお客様にHonda車や付帯商品のご提案を行います。★ムダな残業なし,【転勤なし｜U・Iターン歓迎】 ★愛知・岐阜の店舗での勤務です。 【愛知】 ……知多、三河地区………,350万円～500万円,【 未経験歓迎！20～30代活躍中 】…『家族を養うために稼ぎたい』『接客業で経験したスキルを活かしたい』『安定のもと長く働きたい』など、歓迎！,"月給16万3,850円〜+各手当+インセンティブ+賞与 ＜月収例＞ 月収29万円：入社1年目（20代後半） 月収39…",2020/10/09
株式会社ワールドアイセリング,<裁量を持って働ける！>あなたの得意分野に合わせて『マンション・戸建物件の売買仲介』または『リノベーション用物件の買取・再販』をお任せします。,【転勤なし／U・Iターン歓迎／青葉通一番町駅より徒歩2分！】 宮城県仙台市青葉区一番町2-4-1…,400万円～800万円,《前給保証！》[応募条件]不動産業界の経験がある方 ★宅地建物取引士の有資格者は優遇！ <中途入社のハンデなし>能力に応じて即ポストが付くことも！,"月給235,000円〜430,000円＋インセンティブ＋賞与年2回 ★月収例:385,000円〜430,000円/マネージャー(課…",2020/10/06
株式会社KDDIエボルバ,【電話対応はありません！】フリマアプリ『メルカリ』のユーザー様から寄せられたお問い合わせメールに、ご返信していくお仕事です。,【転勤なし／車通勤可能(駐車場完備)／東札幌駅から徒歩3分】札幌市白石区東札幌2条1丁目2-7 ※…,250万円～350万円,【男女共に活躍中／原則定時退社／転勤なし】◎未経験大歓迎！◎研修が充実しているので安心下さい！◎先輩の半数以上が未経験入社！,月給18.4万円以上 ＋ 残業代別途支給 ＋ 各種諸手当＋一時金(会社の業績による) ※経験・能力を考慮のう…,2020/11/12
株式会社高布,＜研修充実！安心して一人前へ＞工事の計画を立てたり、書類を作成したり…全体の管理業務を担当します。まずは先輩のアシスタントからスタート！,＜転勤なし／京都・滋賀・三重いずれかに配属します＞ 京都支店 京都市南区上鳥羽鴨田22-1 …→近…,400万円～550万円,＜未経験・第二新卒歓迎＞◆35歳以下の方（※）◆手に職をつけたい方 ★29歳・年収635万円の実績も！年齢に関わらず評価される風土です。,"月給19万3,000円〜35万円＋諸手当＋賞与6.5ヶ月分（昨年度実績） ※年齢・経験・スキルによって考慮しま…",2020/11/16
株式会社崎山組,《社会に必要不可欠な基礎工事を手掛ける》◎サイレントパイラーという機械のオペレーター業務をお任せします。※全員にスマホ支給で報告を効率化♪,《転勤なし!マイカー通勤可!駐車場完備／寮完備でU・Iターンも歓迎!》 滋賀県近江八幡市船木町96…,300万円～600万円,《未経験歓迎！意欲重視の採用です》◎要普免(AT限定可) ※資格取得支援制度あり⇒受験費・講習費・会場までの交通費・宿泊費…etc全て会社が負担,月給25万〜30万円 ★経験者は月給30万円以上！さらに資格取得者は月収60万円以上が可能！ ※年齢、経験…,2020/11/20
サカエS．C株式会社,工事現場で使われる足場の組み立てと解体をお願いします。作業はとてもシンプルで、重機を使うことはありません,【転勤なし】 ◆本社／福井県越前市千福町341-2 ※マイカー通勤OK,,【まったくの未経験者大歓迎！！　学歴・年齢不問、UIターン転職も歓迎します】◆要普免（AT車OK）　※他、特に免許は必要ありません,◆月給25万円〜45万円 ＜月収例＞ 35万円〜40万円／35歳・諸手当含む ※これまでの経験・能力等を十分…,2020/09/29
サンライズシステム株式会社,【最先端技術～業務系など】あなたが選んだプロジェクトへ参画！ ※自社内開発OK ※官公庁/医療/教育/自動車/エネルギーetc. 大手プライム案件多数,【転勤なし】 自社内(テレワーク可)or東京(渋谷区/港区/品川区等を中心とした23区内)/神奈川…,450万円～850万円,【要件定義や基本設計経験は不問！】応募条件：詳細設計以降の経験(詳細設計～検証までの経験) ★自社内/テレワーク…働き方は自分次第 ★帰社日月1回,月給40万円以上 + 諸手当 + 賞与 ★前職の給与額以上を保証します！ ※試用期間3ヶ月（同条件） ※月給…,2020/11/05
株式会社アビックスコーポレーション,適性や希望などをもとに、カーライフアドバイザー（販売）または買取の仕事をお任せします。★中古車情報誌やWebなどからの反響対応が中心。,神奈川・東京・千葉・埼玉・大阪・兵庫・沖縄の各店 ※勤務地は希望を考慮します ※マイカー、バイク通…,350万円～950万円,【業界未経験、第二新卒も歓迎！】要普通自動車運転免許（AT限定可）※欧州車が好きな方はもちろん、輸入車の知識ない方でも活躍できます！,"月給23万円〜29万円＋インセンティブ ※固定残業代40h（48,350円〜）含む。超過分は別途支給。 ※経験、…",2020/09/25
株式会社ジョブズコンストラクション,■プロジェクトをトータル管理(作業員ではなく管理をお任せ！） ■スキルや希望に合わせたプロジェクトを管理するポジションです！,【転勤なし（東京／神奈川／千葉／埼玉／大阪／京都／兵庫／奈良など）】 全国27都道府県の各地にある…,,【学歴不問＊何かしらの現場実務経験をお持ちの方活かせます！】★20～30代活躍中！★年休最大139日 ★経験者：月給50万円以上のメンバーも！,月給30万円〜 ＋ 各種手当 　 ★待遇条件の詳細については、面接でご相談ください！ ※経験・能力を考慮…,2020/10/28
京和ブロンズ株式会社,【蛇口などを支える仕事です】◆素材を溶かして不純物を取り除く業務を担当します。入社後は2ヶ月間の研修からスタートしますのでご安心を♪,【転勤なし！マイカー通勤OK】 京都府久世郡久御山町佐山新開地314 …久御山工業団地停留所より徒…,350万円～500万円,【未経験・第二新卒歓迎】◆40歳以下（※）◆体を動かすことが好きな方 ★30代の若手が活躍中 ★既婚率も高く、将来設計が描ける環境です,月給25万円〜27万円 ＜月収例＞ 入社13年目／月収44万円／生産業務 ※経験・年齢を考慮の上、優遇しま…,2020/10/22
メットライフ生命保険株式会社,【賞与年4回(個人業績による)】生命保険の提案・営業を通して、個人・法人のお客さまの幅広いニーズにお応えします。☆将来の営業幹部候補！,【転勤なし／UIターン歓迎！】 仙台市宮城野区榴岡4-2-3　仙台MTビル18F ☆仙台に根差して…,,【未経験歓迎！前職・経験は問いません】◎向上心と主体性を重視します！ ◎大卒以上 ★保険・金融の知識は入社後しっかり学べるので安心です★,初任給月給25万円または30万円 (基本給10万円＋初期補給15万円または20万円)＋業績給 ※初期補給の金額は…,2020/09/18
株式会社リグリード,イベントや展示会などの会場・ブースの設営・撤去、オフィスへの搬入作業など。★希望により高収入が目指せる歩合給制度です！,京都府・大阪府全域の各現場 ※現場へは直行直帰です ◆京都本社 京都府京都市中京区錦堀川町659…,,【未経験歓迎／経験者は優遇します】◆「飽きない仕事がしたい」という方はぜひ！ ★20～30代が活躍中！未経験から始めた人が多数の職場です。,月給20万円〜25万円＋［現場数に応じた歩合給］＋各種手当充実 ＜平均月収：35万円＞ 【月収例】 1日1現…,2020/09/15
株式会社司運送,【軽自動車(AT)で運ぶので未経験も安心！】◆大手運送会社から受託したネットショップの商品を配送します ◆車両レンタルあり！車の持ち込みもOK,★原則自由 【配送エリア】東大阪市（中心）、大阪府下 ※直行直帰で営業所に向かいます 【営業所】大…,,【経験・学齢・年齢不問】◆必要なのは普通自動車免許(AT可)のみ ◆未経験歓迎、人物重視の採用！まずは一度お会いしましょう！◆資格支援サポート有,完全歩合報酬制　※月払い制 ★業務委託スタッフの平均月報酬：40万円 ★待遇条件の詳細については、面…,2020/11/12
株式会社ジェイエムエー,≪書類選考なし・全員面接≫ノルマ一切なし☆軽自動車で個人宅や企業様などへの配送をお任せします！★横乗り見学OK！★,◆原則自由/直行直帰OK ◎選べる業務エリア 必ずしもご希望に沿うことは難しいですが 案件に空きが…,500万円～1000万円,◎経験・学歴・年齢不問★応募資格は普免のみ！書類選考なしの全員面接！稼ぎたい方・フリーな働き方をしたい方歓迎,完全出来高制 ☆報酬例☆ （1個あたり200〜500円） 1個350円×100個配達×25日の場合 350円×100個×25日…,2020/11/24
有限会社エフォール,【 軽自動車(AT限定可)を使用 】大手通販サイトなどの荷物を、担当エリアに配送します。★荷物は重くても飲料水など ★車両リース＆メンテナンスあり,【 直行直帰OK 】 ※各エリアごとの配送です。 ▼愛知県 名古屋市／豊橋市／岡崎市／一宮市／瀬戸…,100万円～1000万円,【 年齢不問｜心機一転、人生をChangeしたい方、大歓迎 】■要普免(AT限定OK) ■自分のペースで働きたい方 ＜元コンビニ店員・倉庫作業員も活躍中＞,完全出来高制 ※1件あたり150円〜180円 〓〓＜月収70万円近くも可能！＞〓〓 ※荷物単価180円の場合（…,2020/11/24
グローバルハウジング株式会社,〔年収1000万円の女性社員や、入社1年で年収960万円の先輩も活躍中〕中古の不動産物件を仕入れ⇒流行や地域のニーズに応じリノベーション⇒価値を再生,【大阪積極採用中♪東京・福岡・大阪、希望に応じて配属】 大阪支店／大阪市東住吉区駒川4-5-12…,500万円～2000万円,// 20～30代中心に活躍中！ //◎不動産仕入れの実務経験をお持ちの方(年数不問) ◎要普免(AT可) ◎高卒以上 ★転勤なし ★経験次第で即管理職へも！,月給35万〜43万円＋高率インセンティブ10％＋賞与+報奨金 ※経歴や能力を考慮し、当社規定により優遇し…,2020/11/20
北伸建設工業株式会社,【億単位の案件が多数／経験できることが多いから自然と実力UP】適性や希望に応じて土木施工管理か重機オペレーターの業務をお任せ　※除雪業務なし,北海道砂川市西1条北20丁目1-25 ※転勤なし ※現場は空知管内がメイン ※マイカー通勤可(社用…,400万円～700万円,【意欲・人柄重視のため『書類選考』はなし・100％面接します！】有資格者や経験者は優遇します／未経験入社も活躍中です／要普通免許(AT限定不可),<土木施工管理技士1級>月給30万円〜 <土木施工管理技士2級>月給27万円〜 <未経験>月給25万円〜 ※賞与は…,2020/11/20
梅田運輸倉庫株式会社,トレーラー車による大手アルコール飲料メーカーの工場間を中心とした中・長距離輸送業務をお任せします。,【白州営業所】 山梨県北杜市白州町白須字所帯4399-1 ※マイカー・バイク通勤可能！,450万円～500万円,★学歴・年齢不問！　◆大型免許・けん引免許をお持ちの方,月給26万円以上+歩合+各種手当 【平均月収38万円以上も可能！】 ※経験・能力を考慮の上決定致します。 …,2020/11/20
東中国スズキ自動車株式会社,《 8割が既存顧客／約7割が内勤！ 》ご来店されたお客様の接客を担当！ ★地域柄、ガツガツと新規を追う働き方ではありません ★毎日閉店と同時に退社,《 転勤はありません／UIターン歓迎 》 岡山県美作市豊国原350-4 ◎雇用元は東中国スズキ自動…,300万円～400万円,《 未経験＆第二新卒歓迎！人柄重視の採用です♪ 》◇要普免 ★”車好き”さんは必見！ ★営業/飲食/販売等の経験があれば活かせます！,"月給196,000円〜300,000円 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…",2020/11/20
株式会社ニューアート・シーマ,【今年11月オープンの新規店舗】山形市に初上陸の「銀座ダイヤモンドシライシ」「 エクセルコダイヤモンド」にて結婚指輪・婚約指輪を販売します！,〒990-0043 山形県山形市本町2-4-62　ル・ベルベール横町1階 ※マイカー通勤も可能(応…,,未経験・第二新卒歓迎【必須条件】◆高卒以上,"月給190,000円〜300,000円＋個人インセンティブ(毎月)+賞与(年2回) 平均年収：446万円 『あなたの頑張り…",2020/11/20
三重農林建設株式会社,【年収700万の高収入も可能！新拠点開設予定でポジション有】JA、大学、病院、工場、地元の主要道路など地域の多彩な工事に携われます。,転勤なし｜U・Iターン歓迎 【三重県津市一身田中野275-1】 駐車場あり／車両貸与制度あり／通勤…,500万円～700万円,【建築または土木施工管理技士(2級・1級)の有資格者(取得予定の方もOK)】◎三重で働きたい、2級→1級をとりたい、どんな理由も受け止めます♪,【月給32万円〜40万円】+賞与年2回（業績賞与含めて昨年6ヶ月分支給）+各種手当（資格、残業） ★年収70…,2020/11/17
福岡アーム税理士事務所,◎福岡エリアの顧問先を税務・財務の面からサポートしてください。★税理士を目指して勉強中の方も歓迎！税理士になる夢、ここで叶えてみませんか？,■福岡福岡市博多区博多駅前3-27-25　第二岡部ビル7F ※転勤一切なし！ ※U・Iターンも大歓…,,＊簿記資格3級以上の有資格者限定募集＊《収入面、環境面を含め満足いく待遇をご用意します！》◎学歴不問　◎税理士事務所での実務経験がある方歓迎,"【税理士事務所でのご経験3年以上ある方】 年俸制4,160,000円〜 + インセンティブ + 決算賞与 【税理士…",2020/11/20
関東防護柵株式会社,【防護柵専門の会社です！】高速道路や国道などの防護柵（ガードレールやフェンス）、遮音壁や鉄道のフェンスなどの設置・施工をおまかせします。,本社 山梨県笛吹市御坂町金川原14-15 ※U・Iターン歓迎 ※マイカー通勤可,,【未経験歓迎！学歴・男女・経験一切不問】■要普通免許 ◎人物重視の採用です！デスクワークではない外仕事が好きな方歓迎します！,月給21万円〜 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヵ月（その間の給与の変…,2020/11/13
岩崎エアーテック株式会社,【既存顧客中心！】◎ニーズのある工場・病院・保育園・介護施設などに空気清浄機のリース・販売をご提案します。契約に応じてインセンティブも支給！,【転勤なし！U・Iターン歓迎】 ■札幌・仙台・新潟・横浜から勤務地をお選びいただけます！ ◎札幌…,300万円～600万円,【経験・年齢不問！40～60代活躍中！】◎普通運転免許(AT限定可) ★主体性を持ち、向上心を持って仕事に向かえる方を歓迎します！,"月給：233,000円〜283,000円＋インセンティブ＋各種手当 ※能力・経験を考慮の上、決定いたします。 ※…",2020/11/13
株式会社TRANSIT,【建築を通して、人と人がつながる日常と空間を “創造”します】設計から監理、現場での施工管理まで、トータルに携わっていただきます。,【転勤なし／マイカー通勤OK】 ■事業所 宮城県仙台市宮城野区出花2丁目9-17 B102,250万円～600万円,【経験者募集/一級建築士大歓迎！/女性活躍中】■建築設計・監理もしくは施工の実務経験をお持ちの方　■要普通免許（AT可）＼経験次第で高収入も◎／,"月給：200,000円〜500,000円 ※経験・能力・資格などを考慮し、当社規定により優遇いたします。 ※試用期…",2020/11/13
プレミアムウォーター株式会社,【完全内勤で働きやすさ◎】一人暮らしの方やファミリー層など、幅広いお客様に対して、電話による案内やアフターフォローをお任せします。,大阪オフィス、または大阪市内、神戸市内の業務提携先での勤務になります ＜大阪オフィス＞ 大阪府大阪…,350万円～550万円,◆年齢 35歳まで ◆仕事とプライベートのバランスを大事にしたい・長く働き続けたいという方は是非ご応募ください。未経験・第二新卒の方も大歓迎！,"月給23万5,000円以上 ＋ インセンティブ（契約件数に応じて毎月支給）＋通勤交通費支給 ※経験・能力を考…",2020/11/13
SAITOS株式会社,《立ち上げメンバーを募集！》都心“3A地区＝麻布・青山・赤坂”のマンションやビルなどの売買業務。★大きな裁量のもとあなたらしいスタイルで活躍！,《転勤なし／六本木のオフィス》 東京都港区西麻布2-13-15第2横芝ビル302,400万円～1000万円,《30～40代活躍中・男女不問》◆投資用不動産営業もしくは住宅販売営業の経験 ◆宅地建物取引士資格 ◎年収1000万円以上も実現可！業界高水準の好待遇,年俸400万円〜＋インセンティブ ※経験やスキルを考慮の上、決定します。 ★歩合還元率も高いため、あ…,2020/11/13
アゲダ空調食品設備株式会社,◎業務用冷凍冷蔵庫の設置やメンテナンスをお任せします。【 多彩な実績 】サンエーやコープ、ドン・キホーテ、琉球大学など ★手厚いサポートあり★,〈 転勤なし 〉 沖縄県中頭郡北中城村字安谷屋1453 ※マイカー通勤OK ※U・Iターン歓迎 ┗…,,＼ 未経験者大歓迎！ゼロからしっかり育てていきます ／ ◎学歴不問 ◎普通運転免許 ★20~40代の男性社員が活躍中 ★社員の家族も大切にする会社です,"月給180,000円〜282,000円 ＋ 諸手当 ※毎年、昇給を行っています。（ 最大1万円 ） ※経験・年齢を考慮…",2020/11/16
太陽交通株式会社,【 時間やお休みは相談OK！ワークライフバランス充実 】お客様を安全に目的地までご案内する仕事です。★コロナ対策実施中！環境面を整備しています。,【 マイカー通勤可 】 ※地下鉄東山線「中村公園」駅より車5分 愛知県名古屋市中村区稲西町158番地,,【 平均年齢72.2歳｜定着率高 】◆普通自動車運転免許(二種免許をお持ちの方) ◆定年後も働きたい方、歓迎！＜30～70代まで幅広い年齢層が活躍中＞,月給30万円〜 ※試用期間は、1ヶ月あります。（待遇の変動なし）,2020/11/13
株式会社宮本工業所,《最新のロボットによる作業もあり！》ライフライン（上下水道・ガス）の管路のメンテナンス・交換、耐震加工をお任せします！,《転勤なし！★バイク通勤・自転車通勤OK！マイカー通勤要相談》 大阪府摂津市南別府町8-47 ⇒大…,350万円～650万円,《先輩の90％が未経験スタートでした！》◎普通免許◎学歴不問★入社後に結婚した人も！,"月給250,000円〜500,000円（一律手当含む）※賞与年2回 ※経験・年齢・スキルに応じ、当社規定により優遇…",2020/11/13
株式会社 LiN CORPORATION,ご希望に応じて以下のどちらかの業務をお任せします。◆来店されたお客様に各種保険の相談対応とご提案　◆提携先の企業を訪問して従業員の方にご提案,■学芸大学店(本店)：東京都目黒区鷹番3-19-10 ■都立大学店：目黒区中根1丁目 【アクセス】…,300万円～800万円,◆年齢・学歴不問　☆未経験歓迎　★経験者優遇(営業、保険、接客など)　◆男女ともに歓迎【ワークライフバランスに優れた、働きやすい職場が魅力！】,■月給20万円〜35万円＋インセンティブ ※試用期間3カ月は月給25万円〜 ※経験・スキルを考慮して決定し…,2020/11/13
社会福祉法人福寿会,【基本定時退社】利用者さんの生活全般サポート。行事の企画や運営も★産育休取得ほぼ100％/自動寝返り支援ベッドを導入、働きやすさを追求,★転勤なし！マイカー、自転車、バイク通勤もOK（無料駐車場完備） （1）埼玉県久喜市（2）東京都福…,360万円～380万円,＼実務未経験者・無資格者・ブランクある方も歓迎！／★学歴不問★介護の実務経験者または介護職員初任者研修を受けた方 ◎誰かの役に立ちたい方,"【福生ことぶき苑】月給25万3,650円〜29万6,650円 【久喜ことぶき苑】月給24万8,000円〜29万6,650円 ※…",2020/11/13
株式会社木の花ホーム,"【あなたの""技""が問われる現場】◆木材からこだわった注文住宅の大工としてご活躍頂きます★大工出身の社長のもとで本物の家づくりをしませんか？",★直行直帰★栃木県全域★ あなたのお住まいから通いやすい現場をアテンドします。 詳しくはお問い合わ…,,【大工の実務経験をお持ちの方→さらなる成長を望む方に最適】★経験年数&年齢は不問！★やればやるほど稼げるから、収入面の安心も手に入ります！,【完全出来高制】 ◆1案件80万円〜150万円 ※案件の単価はお任せする物件によって変動します ⇒頑張っ…,2020/11/13
MIGホールディングス株式会社,《定年ナシ＆働き方も自由！》人が集まる場所限定！人気店のスイーツやパンを駅ナカ・商業施設で限定販売★開業前最長2ヶ月間の手厚い研修あり★,全国の開業希望エリア ※全国3000店舗の展開を目指しています！,,《働き方もお休みも自由！》◎学歴・経験・性別不問←未経験から月収100万円越えを果たす先輩も続出中です！,<売上：1日平均17万円、月間442万円> 関東 横田商店、MURATA ▲商品仕入：331万5000 円 ▲人件費：7万200…,2020/11/10
ファルコンインターナショナル株式会社,大手アパレルブランドに向けた、レディスカジュアルウェアのODM提案。レディスファッション衣料の物作り全てに携わるやりがいと感動のあるお仕事です,★地下鉄御堂筋線「本町駅」より徒歩5分。転勤なし ◇大阪本社／大阪市中央区瓦町4-5-9　井門瓦町…,300万円～800万円,【経験者募集】※アパレル業界での企画または営業の経験をお持ちの方。成果次第で高収入も可能です！,◇月給26万円〜40万円 ※経験や能力に応じて、考慮いたします。 ★成果に応じて賞与にしっかり反映しま…,2020/11/10
株式会社アイプロホールディングス,【100％反響営業！】販売会や不動産情報サイト・自社サイトからの問合せ対応をお任せします。◇未経験も安心／先輩の80％が未経験スタートです。,川口・草加・八潮・足立・葛飾・江戸川・市川からアクセス抜群！ 【勤務地住所】 (1)埼玉県川口市戸…,360万円～780万円,【20～40代幅広く活躍中！／未経験歓迎！】■高卒以上 ■普通自動車免許（AT限定可）◎不動産に興味のある方 ◇研修充実！じっくり教育します,【月給】30万円以上+業績給+報奨金 ※経験・年齢を考慮の上、当社規定により優遇 ＜初年度月収例（売上2…,2020/11/06
税理士法人前原パートナーズ,【残業月平均10時間以下】税理士補助業務（顧客対応や仕分け、確定申告、相談業務など）をお任せします。★完全週休2日制（土日祝休み） ★賞与2回,◎転勤なし ◎小川町駅・新御茶ノ水駅・淡路町駅から徒歩1分の好立地！ 東京都千代田区神田小川町2-…,400万円～650万円,【30代～40代活躍中】◆会計 or 税理士事務所での業務経験がある方〈経理・財務の経験がある方も歓迎〉◎簿記2級程度の知識がある方は優遇,月給：30万円〜（一律手当を含む）+交通費は別途全額支給 ※経験・スキルを考慮し、決定します。,2020/11/06
ミナミ電工株式会社,【現場作業はありません！】大型マンションや商業施設・大手企業の工場などの設備工事に関わる適性に応じた業務をお任せ。☆国家資格の取得支援あり！,【転勤なし／U・Iターン歓迎／マイカー通勤OK】 ※転居費用負担制度あり ◇兵庫県姫路市中地66-…,350万円～500万円,【応募条件に合う方は全員面接！】■高卒以上■要普免■未経験者：30歳まで／経験者：年齢不問 ★賞与支給平均6.5ヶ月と利益は社員に還元する風土です,◇未経験者：月給24万円〜 + 各種諸手当 ◇経験者：月給28万円〜 + 各種諸手当 ※経験・年齢に応じて優…,2020/11/24
株式会社プリペアド,《 個別指導塾の運営管理業務 》◆小中高生の学習サポートやご家族への報告、入塾希望の方への教室のご案内などをお任せします。近い将来は教室長へ！,【 転勤ナシ！ 西春駅から徒歩1分 】 愛知県北名古屋市九之坪北町51-1,,《 未経験・第二新卒歓迎 》◆中学生レベルの英語・数学を教えられる程度の学力があればOK ◆異業種からの転職も歓迎 ◇1週間の連休が年4回,【1】月給23万円〜＋賞与年2回 【2】月給20万円〜＋インセンティブ＋賞与年2回 ※上記の【1】【2】から…,2020/11/06
株式会社ロンコ・ジャパン,【選べる働き方！】管理：運行状況の管理や配車業務　ドライバー：大型ドライバーとして取引先への配送　をお任せします。,【UIターン歓迎／マイカー通勤OK】 広島県（廿日市・尾道・広島市）または、香川県（三豊）いずれか…,450万円～600万円,【学歴一切不問！】◆要普免　◆運行管理や大型免許の資格／実務経験をお持ちの方は優遇！◎あなたに合わせたキャリアをご用意します◎30~40代活躍中,月給：30万円以上＋諸手当 ※経験・年齢・能力を考慮の上、決定します,2020/11/10
