会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
東リ株式会社,【手厚い研修＆サポートあり】◇当社およびグループ各社の決算や税務申告をお任せします。※あなたの実力・経験に応じた仕事から徐々に慣れていけます,☆U・Iターン歓迎 ☆マイカー通勤相談可 【本社】 兵庫県伊丹市東有岡5-125 （阪急伊丹線「新…,,【高い社員定着率を記録】◇男女不問 ※決算業務を含めた経理経験（3年以上が目安）があり、かつ日商簿記2級以上の資格または同等の知識をお持ちの方,"◎月給／23万1,500円〜30万円 ※一律手当（昼食手当）を含む ※年齢、経験により考慮して決定します。 ※…",2020/11/06
株式会社あらた,仕入れ先（化粧品・日用品メーカー）と小売店（ECサイト）をつなぐ懸け橋に！　★商品の提供から“売れる売り場づくり”までトータルで担当します！,東京メトロ東西線「東陽町駅」より徒歩10分 【本社】東京都江東区東陽6丁目3番2号　イースト21タ…,400万円～540万円,【20代活躍中】◆応募条件／営業職の実務経験者・大卒以上・要普免・基本的なPCスキル◇日用品・化粧品の営業経験をお持ちの方は優遇します。,"月給261,000円〜（一律手当含む） ※経験・スキルを考慮し決定します。 ※試用期間6ヶ月（同条件）",2020/11/02
株式会社あらた,【自動倉庫/バラ出荷/入荷など】当社物流センターの倉庫管理です。☆不況に強い日用品の卸売 ☆綺麗な倉庫 ☆資格取得支援あり（費用を会社が負担）,※転勤なし 全国の拠点（大阪、愛知、神奈川、千葉、埼玉、秋田）いずれかに配属。 ※マイカー通勤OK…,300万円～400万円,【経験が浅い方も歓迎】◆物流・倉庫・運輸などの業務に携わった経験 ◆普通運転免許(AT可) ☆フォークリフトの免許があれば尚可,"月給18万5,000円〜25万6,000円 ※経験・能力等を考慮の上、決定いたします ※試用期間6か月あり（期間中…",2020/10/30
大英産業株式会社,【100％反響型の営業スタイル】新築一戸建住宅の営業　◆当社の営業はチーム制！担当も順番に割り振っています　◆魅力が詰まった住宅で提案しやすい,福岡県内及びその近郊、下関のショールーム ※マイカー通勤可(ガソリン代は支給します※社内規定による…,340万円～450万円,【 未経験歓迎 】◎要運転免許 ◆手厚い教育研修があるから中途入社でも安心　◆住宅・インテリアに興味のある方、お客様対応に自信がある方ぜひ！,月給21万3000円〜 ※経験・能力を考慮し、決定します。 ※上記には固定残業代（40時間分／5万9228円〜）…,2020/12/04
野村不動産パートナーズ株式会社,適性に応じて、マンションマネージャー、ビル・マンションの設備管理、建築インテリア、プロパティマネジージャー、本社スタッフのいずれかをお任せ。,首都圏（東京/千葉/埼玉/神奈川）、札幌、仙台、名古屋、大阪、神戸、福岡等の他エリア ※勤務地は希…,400万円～650万円,【中途入社5割以上／経験者優遇】◎未経験者：29歳までの方 ◎経験者：不動産業界・ビル管理・施工管理、いずれかの経験をお持ちの方 ★年間休日123日,"■大学院卒／月給21万500円〜33万1,500円 ■大学卒／月給20万3,000円〜 ■高専・専門卒／月給19万1,500円…",2020/12/24
日本水産株式会社,【まずは安心の研修からスタート！】水産資源（魚油）から機能性脂質を抽出する精製過程の作業・管理をお任せします！,ファインケミカル総合工場鹿島油脂工場・鹿島医薬品工場 茨城県神栖市東深芝18-2 ※U・Iターン歓…,,【未経験・第二新卒大歓迎！】製造経験や業界経験も一切不問！人物重視の採用です！異業種出身の先輩多数！※週休2 日／年休123日／残業月20h程度,"時給1,600円〜＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。",2020/10/29
NDS株式会社,【 文系出身者も在籍！仕事のコトも業界のコトも全てイチからお教えします！ 】工事の管理やお客様との打合せなど現場全体の管理業務。,【 本社（名古屋市）・東日本本部（東京）・関西支社（大阪）・愛知・静岡・岐阜・三重のいずれかにある…,350万円～450万円,【 『 将来のため、人生設計を描ける会社で働きたい 』…とNDSに転職を決めた社員も活躍中 】◆27歳以下の方(※) ◆馴染みのある街で働き続けたい方,"大学院卒:月給219,900円〜 大卒:月給209,500円〜 ※経験やスキルを考慮し決定します。 【 モデル年収 …",2020/12/04
株式会社ＩＣＥ,【企画型提案営業／反響営業】●オリジナルコスメを作りたいお客様との打ち合わせ・サンプル作成・納品までお任せします。◆年休123日◆残業10H程度,★転勤なし★駅チカ【東京/飯田橋】 ※東証一部上場「株式会社アイロムグループ」と同フロアにあります…,240万円～440万円,【人物・人柄重視の採用】◆未経験OK・業界の経験は不問です！◆やる気があり、向上心のある方＼女性社員も活躍中／★土日祝休★年休123日,月給20万〜40万円+各種手当 ※前職を考慮し、経験・スキルに応じて金額を決定 ※残業手当は別途支給,2020/12/22
株式会社キャンサースキャン,健診など「自治体からの案内（DM）」の制作にともなう、制作進行管理をお任せします。仕事の進め方は先輩社員が丁寧に教えます。,【転勤なし】 東京都品川区西五反田1-3-8 五反田PLACE2F ★2月に移転した新オフィス 〈…,350万円～500万円,【業界未経験者も歓迎】◆大卒以上 ◆営業、コンサルタント、企画、事務など社内外との対人業務の経験がある方 ◆基本的なPCスキル,月給25万円以上 ＋ 賞与年2回（昨年度実績：2ヶ月分） ※経験、年齢、スキル等を考慮の上、当社規定に基…,2020/12/11
株式会社キャンサースキャン,【裁量権大／社内の各分野のプロフェッショナルと連携】予防医療に貢献するマーケティング戦略の企画・提案・実行を担っていただきます。,【転勤なし】 東京都品川区西五反田1-3-8 五反田PLACE2F ★2月に移転した新オフィス ★…,400万円～600万円,【業界未経験歓迎／平均年齢30代前半】応募条件：◆大卒以上 ◆顧客折衝経験をお持ちの方 ＊研究職/コンサル/金融/メーカーなど、異業種出身者多数！,"月給285,990円〜428,995円 ＋ 賞与年2回（昨年度実績：2ヶ月分） ※経験、年齢、スキル等を考慮の上、当…",2020/12/11
DAITO株式会社,製造、食品、農業、寺院など幅広い業界で必要とされる”燃却炉”の営業をお任せします。★テレアポや個人宅への飛び込みなし！,◎マイカー・社用車通勤可 ◎若手社員への「社員育成支援制度」あり ■信越営業所 長野県長野市南長池…,350万円～450万円,【 焼却炉の知識はなくてOK！営業経験をお持ちの方は活かせます 】◆学歴不問◆要普免◆40歳まで※◆転勤なし！好きな街で活躍◆異業種出身者が多数,◆月給23万円〜25万円＋営業報奨金（平均8万円／人） ※あなたの経験やスキルに応じて優遇 ※入社後1年間…,2020/12/25
三菱マテリアル株式会社,★【基本定時退勤！チームでの作業！】☆銅・金・銀などの非鉄金属を製錬 ★銅板などの基礎素材を製造します。,【フェリー通勤可能！／U・Iターン歓迎】 ■香川県香川郡直島町4049-1 ★寮・社宅も貸与するの…,,【若手の育成枠採用です】◆未経験者大歓迎・第二新卒歓迎 ◆高卒以上 ◆専門知識・資格等は不問 ◆35歳以下の方（※）★面接1回のスピード選考を予定,"月給：161,600円以上＋諸手当 ※上記はあくまで最低保障です ＼想定月収26万円以上！／ ※年齢、経験、能…",2020/12/25
